"Fact","Fact Note","Chicago city, Illinois","Value Note for Chicago city, Illinois"
"Population estimates, July 1, 2017,  (V2017)","","2,716,450",""
"Population estimates base, April 1, 2010,  (V2017)","","2,695,620",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)","","0.8%",""
"Population, Census, April 1, 2010","","2,695,598",""
"Persons under 5 years, percent","","6.6%",""
"Persons under 18 years, percent","","21.9%",""
"Persons 65 years and over, percent","","11.2%",""
"Female persons, percent","","51.5%",""
"White alone, percent","(a)","48.7%",""
"Black or African American alone, percent","(a)","30.9%",""
"American Indian and Alaska Native alone, percent","(a)","0.3%",""
"Asian alone, percent","(a)","6.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","2.5%",""
"Hispanic or Latino, percent","(b)","29.1%",""
"White alone, not Hispanic or Latino, percent","","32.3%",""
"Veterans, 2012-2016","","78,919",""
"Foreign born persons, percent, 2012-2016","","20.9%",""
"Housing units,  July 1, 2017,  (V2017)","","X",""
"Owner-occupied housing unit rate, 2012-2016","","44.1%",""
"Median value of owner-occupied housing units, 2012-2016","","$225,200",""
"Median selected monthly owner costs -with a mortgage, 2012-2016","","$1,847",""
"Median selected monthly owner costs -without a mortgage, 2012-2016","","$637",""
"Median gross rent, 2012-2016","","$987",""
"Building permits, 2017","","X",""
"Households, 2012-2016","","1,042,579",""
"Persons per household, 2012-2016","","2.55",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016","","84.1%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016","","36.2%",""
"High school graduate or higher, percent of persons age 25 years+, 2012-2016","","83.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016","","36.5%",""
"With a disability, under age 65 years, percent, 2012-2016","","7.1%",""
"Persons  without health insurance, under age 65 years, percent","","16.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2012-2016","","66.4%",""
"In civilian labor force, female, percent of population age 16 years+, 2012-2016","","62.1%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","8,996,441",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","20,064,843",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","26,503,402",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","33,134,983",""
"Total retail sales, 2012 ($1,000)","(c)","22,627,328",""
"Total retail sales per capita, 2012","(c)","$8,335",""
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016","","34.4",""
"Median household income (in 2016 dollars), 2012-2016","","$50,434",""
"Per capita income in past 12 months (in 2016 dollars), 2012-2016","","$30,847",""
"Persons in poverty, percent","","21.7%",""
"Total employer establishments, 2016","","X",""
"Total employment, 2016","","X",""
"Total annual payroll, 2016 ($1,000)","","X",""
"Total employment, percent change, 2015-2016","","X",""
"Total nonemployer establishments, 2016","","X",""
"All firms, 2012","","291,007",""
"Men-owned firms, 2012","","147,997",""
"Women-owned firms, 2012","","123,632",""
"Minority-owned firms, 2012","","140,109",""
"Nonminority-owned firms, 2012","","142,470",""
"Veteran-owned firms, 2012","","19,747",""
"Nonveteran-owned firms, 2012","","263,026",""
"Population per square mile, 2010","","11,841.8",""
"Land area in square miles, 2010","","227.63",""
"FIPS Code","","""1714000""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
