year,team,age,games_played,games_started,minutes_played,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_pointer_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,ppg,apg,rpg
2003,WAS,40,82,67,3029,1640,679,1527,44.5,16,55,29.1,266,324,82.1,71,426,497,311,123,39,173,171,20.0,3.8,6.1
2002,WAS,39,60,53,2089,1375,551,1324,41.6,10,53,18.9,263,333,79.0,50,289,339,310,85,26,162,119,22.9,5.2,5.6
1998,CHI,35,82,82,3181,2357,881,1893,46.5,30,126,23.8,565,721,78.4,130,345,475,283,141,45,185,151,28.7,3.5,5.8
1997,CHI,34,82,82,3109,2431,920,1892,48.6,111,297,37.4,480,576,83.3,113,369,482,352,140,44,166,156,29.6,4.3,5.9
1996,CHI,33,82,82,3090,2491,916,1850,49.5,111,260,42.7,548,657,83.4,148,395,543,352,180,42,197,195,30.4,4.3,6.6
1995,CHI,32,17,17,668,457,166,404,41.1,16,32,50.0,109,136,80.1,25,92,117,90,30,13,35,47,26.9,5.3,6.9
1993,CHI,30,78,78,3067,2541,992,2003,49.5,81,230,35.2,476,569,83.7,135,387,522,428,221,61,207,188,32.6,5.5,6.7
1992,CHI,29,80,80,3102,2404,943,1818,51.9,27,100,27.0,491,590,83.2,91,420,511,489,182,75,200,201,30.0,6.1,6.4
1991,CHI,28,82,82,3034,2580,990,1837,53.9,29,93,31.2,571,671,85.1,118,374,492,453,223,83,202,229,31.5,5.5,6.0
1990,CHI,27,82,82,3197,2753,1034,1964,52.6,92,245,37.6,593,699,84.8,143,422,565,519,227,54,247,241,33.6,6.3,6.9
1989,CHI,26,81,81,3255,2633,966,1795,53.8,27,98,27.6,674,793,85.0,149,503,652,650,234,65,290,247,32.5,8.0,8.0
1988,CHI,25,82,82,3311,2868,1069,1998,53.5,7,53,13.2,723,860,84.1,139,310,449,485,259,131,252,270,35.0,5.9,5.5
1987,CHI,24,82,82,3281,3041,1098,2279,48.2,12,66,18.2,833,972,85.7,166,264,430,377,236,125,272,237,37.1,4.6,5.2
1986,CHI,23,18,7,451,408,150,328,45.7,3,18,16.7,105,125,84.0,23,41,64,53,37,21,45,46,22.7,2.9,3.6
1985,CHI,22,82,82,3144,2313,837,1625,51.5,9,52,17.3,630,746,84.5,167,367,534,481,196,69,291,285,28.2,5.9,6.5
